sha	scope	path_or_hunk	decision	reason	target_batch
f5531fd65542f69ed4c17a5bdde03299e06a83f6	commit	all	mixed	reviewed: Keep the HeroClass debug correction in Slice 1, defer feature-bearing translation bundles to Slice 2, and exclude the upstream app-version bump.	build-review
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	build.gradle	excluded	reviewed: override -	excluded-reviewed
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/assets/messages/actors/actors_fr.properties	slice2	reviewed: override -	slice2-feature
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/assets/messages/actors/actors_pl.properties	slice2	reviewed: override -	slice2-feature
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/assets/messages/items/items_fr.properties	slice2	reviewed: override -	slice2-feature
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/assets/messages/items/items_tr.properties	slice2	reviewed: override -	slice2-feature
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/assets/messages/items/items_uk.properties	slice2	reviewed: override -	slice2-feature
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/assets/messages/misc/misc_fr.properties	slice2	reviewed: override -	slice2-feature
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/assets/messages/plants/plants_fr.properties	slice2	reviewed: override -	slice2-feature
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/assets/messages/windows/windows_tr.properties	slice2	reviewed: override -	slice2-feature
f5531fd65542f69ed4c17a5bdde03299e06a83f6	path	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/hero/HeroClass.java	slice1	reviewed: override -	build-review
e40e374a09331cc8f1bb7ff03c7dbc922bd367a0	commit	all	excluded	reviewed: Upstream app-version and changelog or welcome metadata are excluded; they do not implement CPDU engine or tuning behavior.	frontier-mixed
e40e374a09331cc8f1bb7ff03c7dbc922bd367a0	path	build.gradle	excluded	reviewed: override -	excluded-reviewed
b487648371fffd9a4279d5219817b4637d4b42c1	commit	all	slice2	reviewed: Generic translation bundles contain v2.5 feature strings, so the complete translation payload is deferred to Slice 2 to avoid same-file feature leakage.	frontier-mixed
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/actors/actors_fr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/actors/actors_hu.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/actors/actors_pl.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/actors/actors_ru.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/actors/actors_tr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/actors/actors_vi.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_de.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_eo.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_es.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_fr.properties	slice2	reviewed: override -	slice2-feature
