sha	review_kind	status	decision	target_batch	path_overrides	reason
f5531fd65542f69ed4c17a5bdde03299e06a83f6	frontier-required	override	mixed	build-review	build.gradle=excluded;core/src/main/assets/messages/actors/actors_fr.properties=slice2;core/src/main/assets/messages/actors/actors_pl.properties=slice2;core/src/main/assets/messages/items/items_fr.properties=slice2;core/src/main/assets/messages/items/items_tr.properties=slice2;core/src/main/assets/messages/items/items_uk.properties=slice2;core/src/main/assets/messages/misc/misc_fr.properties=slice2;core/src/main/assets/messages/plants/plants_fr.properties=slice2;core/src/main/assets/messages/windows/windows_tr.properties=slice2	Keep the HeroClass debug correction in Slice 1, defer feature-bearing translation bundles to Slice 2, and exclude the upstream app-version bump.
e40e374a09331cc8f1bb7ff03c7dbc922bd367a0	frontier-required	override	excluded	frontier-mixed	build.gradle=excluded	Upstream app-version and changelog or welcome metadata are excluded; they do not implement CPDU engine or tuning behavior.
b487648371fffd9a4279d5219817b4637d4b42c1	frontier-required	override	slice2	frontier-mixed	core/src/main/assets/messages/actors/actors_fr.properties=slice2;core/src/main/assets/messages/actors/actors_hu.properties=slice2;core/src/main/assets/messages/actors/actors_pl.properties=slice2;core/src/main/assets/messages/actors/actors_ru.properties=slice2;core/src/main/assets/messages/actors/actors_tr.properties=slice2;core/src/main/assets/messages/actors/actors_vi.properties=slice2;core/src/main/assets/messages/items/items_de.properties=slice2;core/src/main/assets/messages/items/items_eo.properties=slice2;core/src/main/assets/messages/items/items_es.properties=slice2;core/src/main/assets/messages/items/items_fr.properties=slice2;core/src/main/assets/messages/items/items_hu.properties=slice2;core/src/main/assets/messages/items/items_it.properties=slice2;core/src/main/assets/messages/items/items_pl.properties=slice2;core/src/main/assets/messages/items/items_tr.properties=slice2;core/src/main/assets/messages/items/items_vi.properties=slice2;core/src/main/assets/messages/items/items_zh.properties=slice2;core/src/main/assets/messages/levels/levels_fr.properties=slice2;core/src/main/assets/messages/misc/misc_el.properties=slice2;core/src/main/assets/messages/misc/misc_fr.properties=slice2;core/src/main/assets/messages/misc/misc_hu.properties=slice2;core/src/main/assets/messages/misc/misc_it.properties=slice2;core/src/main/assets/messages/plants/plants_cs.properties=slice2;core/src/main/assets/messages/scenes/scenes_be.properties=slice2;core/src/main/assets/messages/scenes/scenes_cs.properties=slice2;core/src/main/assets/messages/scenes/scenes_de.properties=slice2;core/src/main/assets/messages/scenes/scenes_el.properties=slice2;core/src/main/assets/messages/scenes/scenes_eo.properties=slice2;core/src/main/assets/messages/scenes/scenes_es.properties=slice2;core/src/main/assets/messages/scenes/scenes_fr.properties=slice2;core/src/main/assets/messages/scenes/scenes_hu.properties=slice2;core/src/main/assets/messages/scenes/scenes_in.properties=slice2;core/src/main/assets/messages/scenes/scenes_it.properties=slice2;core/src/main/assets/messages/scenes/scenes_ja.properties=slice2;core/src/main/assets/messages/scenes/scenes_ko.properties=slice2;core/src/main/assets/messages/scenes/scenes_nl.properties=slice2;core/src/main/assets/messages/scenes/scenes_pl.properties=slice2;core/src/main/assets/messages/scenes/scenes_pt.properties=slice2;core/src/main/assets/messages/scenes/scenes_ru.properties=slice2;core/src/main/assets/messages/scenes/scenes_tr.properties=slice2;core/src/main/assets/messages/scenes/scenes_uk.properties=slice2;core/src/main/assets/messages/scenes/scenes_vi.properties=slice2;core/src/main/assets/messages/scenes/scenes_zh.properties=slice2;core/src/main/assets/messages/ui/ui_hu.properties=slice2;core/src/main/assets/messages/ui/ui_ru.properties=slice2;core/src/main/assets/messages/windows/windows_cs.properties=slice2;core/src/main/assets/messages/windows/windows_el.properties=slice2;core/src/main/assets/messages/windows/windows_fr.properties=slice2;core/src/main/assets/messages/windows/windows_hu.properties=slice2;core/src/main/assets/messages/windows/windows_pl.properties=slice2;core/src/main/assets/messages/windows/windows_ru.properties=slice2;core/src/main/assets/messages/windows/windows_tr.properties=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java=slice2	Generic translation bundles contain v2.5 feature strings, so the complete translation payload is deferred to Slice 2 to avoid same-file feature leakage.
b8e68533b99bdeeb994bd5c34bd678ec26bcca32	frontier-required	approved	slice1	hotspot-char	-	Reviewed as Slice 1 engine or tuning work: fixed instakill effects not working on raging brutes.
e3a11ba7711d9e3c19ac21f318c71bae2b10398a	frontier-required	approved	slice1	platform-review	-	Reviewed as Slice 1 engine or tuning work: added support for narrow non-breaking space to fonts.
284513c4da62bc008deb6a7a828555c13dca6d71	frontier-required	override	excluded	frontier-mixed	build.gradle=excluded	Upstream app-version and changelog or welcome metadata are excluded; they do not implement CPDU engine or tuning behavior.
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	frontier-required	override	mixed	frontier-mixed	build.gradle=excluded;core/src/main/assets/messages/actors/actors_cs.properties=slice2;core/src/main/assets/messages/actors/actors_de.properties=slice2;core/src/main/assets/messages/actors/actors_el.properties=slice2;core/src/main/assets/messages/actors/actors_eo.properties=slice2;core/src/main/assets/messages/actors/actors_es.properties=slice2;core/src/main/assets/messages/actors/actors_fr.properties=slice2;core/src/main/assets/messages/actors/actors_hu.properties=slice2;core/src/main/assets/messages/actors/actors_in.properties=slice2;core/src/main/assets/messages/actors/actors_it.properties=slice2;core/src/main/assets/messages/actors/actors_ja.properties=slice2;core/src/main/assets/messages/actors/actors_ko.properties=slice2;core/src/main/assets/messages/actors/actors_nl.properties=slice2;core/src/main/assets/messages/actors/actors_pl.properties=slice2;core/src/main/assets/messages/actors/actors_pt.properties=slice2;core/src/main/assets/messages/actors/actors_ru.properties=slice2;core/src/main/assets/messages/actors/actors_tr.properties=slice2;core/src/main/assets/messages/actors/actors_uk.properties=slice2;core/src/main/assets/messages/actors/actors_vi.properties=slice2;core/src/main/assets/messages/actors/actors_zh.properties=slice2;core/src/main/assets/messages/items/items_cs.properties=slice2;core/src/main/assets/messages/items/items_de.properties=slice2;core/src/main/assets/messages/items/items_el.properties=slice2;core/src/main/assets/messages/items/items_eo.properties=slice2;core/src/main/assets/messages/items/items_es.properties=slice2;core/src/main/assets/messages/items/items_fr.properties=slice2;core/src/main/assets/messages/items/items_hu.properties=slice2;core/src/main/assets/messages/items/items_in.properties=slice2;core/src/main/assets/messages/items/items_it.properties=slice2;core/src/main/assets/messages/items/items_ja.properties=slice2;core/src/main/assets/messages/items/items_ko.properties=slice2;core/src/main/assets/messages/items/items_nl.properties=slice2;core/src/main/assets/messages/items/items_pl.properties=slice2;core/src/main/assets/messages/items/items_pt.properties=slice2;core/src/main/assets/messages/items/items_ru.properties=slice2;core/src/main/assets/messages/items/items_tr.properties=slice2;core/src/main/assets/messages/items/items_uk.properties=slice2;core/src/main/assets/messages/items/items_vi.properties=slice2;core/src/main/assets/messages/items/items_zh.properties=slice2;core/src/main/assets/messages/misc/misc_de.properties=slice2;core/src/main/assets/messages/misc/misc_es.properties=slice2;core/src/main/assets/messages/scenes/scenes_de.properties=slice2;core/src/main/assets/messages/ui/ui_hu.properties=slice2;core/src/main/assets/messages/ui/ui_tr.properties=slice2;core/src/main/assets/messages/windows/windows_hu.properties=slice2;core/src/main/assets/messages/windows/windows_zh.properties=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java=slice2	Generic translation bundles contain v2.5 feature strings and are deferred whole-file to Slice 2; upstream version and changelog paths remain excluded.
79c2350cb10dd1a06c7c4cfb5601b8284f798868	frontier-required	override	slice1	slice2-feature	-	Mimic scaling-depth correction is a general spawned-mob bugfix; the cursed-wand mention is only an example.
f4535640713c6efbab0dc742c2766de9871eccad	frontier-required	override	mixed	frontier-mixed	build.gradle=excluded;core/src/main/assets/messages/actors/actors_be.properties=slice2;core/src/main/assets/messages/actors/actors_cs.properties=slice2;core/src/main/assets/messages/actors/actors_de.properties=slice2;core/src/main/assets/messages/actors/actors_el.properties=slice2;core/src/main/assets/messages/actors/actors_eo.properties=slice2;core/src/main/assets/messages/actors/actors_es.properties=slice2;core/src/main/assets/messages/actors/actors_fr.properties=slice2;core/src/main/assets/messages/actors/actors_hu.properties=slice2;core/src/main/assets/messages/actors/actors_in.properties=slice2;core/src/main/assets/messages/actors/actors_it.properties=slice2;core/src/main/assets/messages/actors/actors_ja.properties=slice2;core/src/main/assets/messages/actors/actors_ko.properties=slice2;core/src/main/assets/messages/actors/actors_nl.properties=slice2;core/src/main/assets/messages/actors/actors_pl.properties=slice2;core/src/main/assets/messages/actors/actors_pt.properties=slice2;core/src/main/assets/messages/actors/actors_ru.properties=slice2;core/src/main/assets/messages/actors/actors_tr.properties=slice2;core/src/main/assets/messages/actors/actors_uk.properties=slice2;core/src/main/assets/messages/actors/actors_vi.properties=slice2;core/src/main/assets/messages/actors/actors_zh.properties=slice2;core/src/main/assets/messages/items/items_be.properties=slice2;core/src/main/assets/messages/items/items_cs.properties=slice2;core/src/main/assets/messages/items/items_de.properties=slice2;core/src/main/assets/messages/items/items_el.properties=slice2;core/src/main/assets/messages/items/items_eo.properties=slice2;core/src/main/assets/messages/items/items_es.properties=slice2;core/src/main/assets/messages/items/items_fr.properties=slice2;core/src/main/assets/messages/items/items_hu.properties=slice2;core/src/main/assets/messages/items/items_in.properties=slice2;core/src/main/assets/messages/items/items_it.properties=slice2;core/src/main/assets/messages/items/items_ja.properties=slice2;core/src/main/assets/messages/items/items_ko.properties=slice2;core/src/main/assets/messages/items/items_nl.properties=slice2;core/src/main/assets/messages/items/items_pl.properties=slice2;core/src/main/assets/messages/items/items_pt.properties=slice2;core/src/main/assets/messages/items/items_ru.properties=slice2;core/src/main/assets/messages/items/items_tr.properties=slice2;core/src/main/assets/messages/items/items_uk.properties=slice2;core/src/main/assets/messages/items/items_vi.properties=slice2;core/src/main/assets/messages/items/items_zh.properties=slice2;core/src/main/assets/messages/levels/levels_de.properties=slice2;core/src/main/assets/messages/levels/levels_el.properties=slice2;core/src/main/assets/messages/levels/levels_fr.properties=slice2;core/src/main/assets/messages/levels/levels_pl.properties=slice2;core/src/main/assets/messages/misc/misc_de.properties=slice2;core/src/main/assets/messages/misc/misc_el.properties=slice2;core/src/main/assets/messages/misc/misc_eo.properties=slice2;core/src/main/assets/messages/misc/misc_pl.properties=slice2;core/src/main/assets/messages/misc/misc_zh.properties=slice2;core/src/main/assets/messages/plants/plants_cs.properties=slice2;core/src/main/assets/messages/plants/plants_hu.properties=slice2;core/src/main/assets/messages/scenes/scenes_el.properties=slice2;core/src/main/assets/messages/scenes/scenes_fr.properties=slice2;core/src/main/assets/messages/scenes/scenes_hu.properties=slice2;core/src/main/assets/messages/scenes/scenes_pl.properties=slice2;core/src/main/assets/messages/ui/ui_el.properties=slice2;core/src/main/assets/messages/ui/ui_fr.properties=slice2;core/src/main/assets/messages/ui/ui_hu.properties=slice2;core/src/main/assets/messages/windows/windows_el.properties=slice2;core/src/main/assets/messages/windows/windows_eo.properties=slice2;core/src/main/assets/messages/windows/windows_fr.properties=slice2;core/src/main/assets/messages/windows/windows_hu.properties=slice2;core/src/main/assets/messages/windows/windows_pl.properties=slice2;core/src/main/assets/messages/windows/windows_ru.properties=slice2;core/src/main/assets/messages/windows/windows_tr.properties=slice2;core/src/main/assets/messages/windows/windows_uk.properties=slice2;core/src/main/assets/messages/windows/windows_vi.properties=slice2;core/src/main/assets/messages/windows/windows_zh.properties=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java=slice2	Generic translation bundles contain v2.5 feature strings and are deferred whole-file to Slice 2; upstream version and changelog paths remain excluded.
c00d7e5ce33c9f44294067d8dba25249cc3d9bad	frontier-required	approved	slice1	build-review	-	Reviewed as Slice 1 engine or tuning work: updated Gradle, AGP, and R8.
01a9218ad7883b64c183243f151c3bcb47eb612f	frontier-required	approved	slice1	hotspot-char	-	Reviewed as Slice 1 engine or tuning work: stone of aggression rebalanced:.
a2a39d92a125b61b5bb0f673bbfc914e445903e4	frontier-required	override	slice1	frontier-mixed	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/journal/Catalog.java=slice1	Bomb rebalance plus Catalog rename support are inseparable Slice 1 tuning and save-compat work.
0a74ed12ba5d5115035d58ae3f4b1d8e41084f92	sample	approved	slice1	cold-code	-	Reviewed as Slice 1 engine or tuning work: fixed corpse dust unintentionally becoming droppable.
a6b20c5c053a3045d8e885903a861dd304f943e6	frontier-required	override	mixed	build-review	build.gradle=excluded	Keep the flying-Rat debug correction in Slice 1 but exclude the upstream-only app-version bump.
e38a30175e9b64c17b5777eac2eb352c3eb88b76	frontier-required	override	excluded	frontier-mixed	build.gradle=excluded	Upstream app-version and changelog or welcome metadata are excluded; they do not implement CPDU engine or tuning behavior.
bc4a368903c05e0894e33fd83d03f38ea31d27a9	frontier-required	approved	slice1	hotspot-char	-	Reviewed as Slice 1 engine or tuning work: now only some flying chars visually fall into pits on death.
e88c6894c5f587a7a78d1db86a5e8fc6cc563e75	frontier-required	approved	slice1	hotspot-level	-	Reviewed as Slice 1 engine or tuning work: fixed dark floors having 1/2 vision on load instead of 5/8.
576f13154e87a85f90cf357de310a2cf424cc89b	frontier-required	approved	slice2	slice2-feature	-	Reviewed as deferred Slice 2 feature work: fixed shard of oblivion using wrong stats in its description.
