sha	release_band	subject	touched_paths	provisional_category
f5531fd65542f69ed4c17a5bdde03299e06a83f6	v2.4.2..v2.5.4	v2.5.4: fixed unintended debug code and upped version for re-release	build.gradle;core/src/main/assets/messages/actors/actors_fr.properties;core/src/main/assets/messages/actors/actors_pl.properties;core/src/main/assets/messages/items/items_fr.properties;core/src/main/assets/messages/items/items_tr.properties;core/src/main/assets/messages/items/items_uk.properties;core/src/main/assets/messages/misc/misc_fr.properties;core/src/main/assets/messages/plants/plants_fr.properties;core/src/main/assets/messages/windows/windows_tr.properties;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/hero/HeroClass.java	build
e40e374a09331cc8f1bb7ff03c7dbc922bd367a0	v2.4.2..v2.5.4	v2.5.4: updated version and changelog for v2.5.4 release!	build.gradle;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/scenes/WelcomeScene.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/ui/changelist/v2_X_Changes.java	docs
b487648371fffd9a4279d5219817b4637d4b42c1	v2.4.2..v2.5.4	v2.5.4: updated translator credits and translations	core/src/main/assets/messages/actors/actors_fr.properties;core/src/main/assets/messages/actors/actors_hu.properties;core/src/main/assets/messages/actors/actors_pl.properties;core/src/main/assets/messages/actors/actors_ru.properties;core/src/main/assets/messages/actors/actors_tr.properties;core/src/main/assets/messages/actors/actors_vi.properties;core/src/main/assets/messages/items/items_de.properties;core/src/main/assets/messages/items/items_eo.properties;core/src/main/assets/messages/items/items_es.properties;core/src/main/assets/messages/items/items_fr.properties;core/src/main/assets/messages/items/items_hu.properties;core/src/main/assets/messages/items/items_it.properties;core/src/main/assets/messages/items/items_pl.properties;core/src/main/assets/messages/items/items_tr.properties;core/src/main/assets/messages/items/items_vi.properties;core/src/main/assets/messages/items/items_zh.properties;core/src/main/assets/messages/journal/journal_el.properties;core/src/main/assets/messages/journal/journal_fr.properties;core/src/main/assets/messages/levels/levels_fr.properties;core/src/main/assets/messages/misc/misc_el.properties;core/src/main/assets/messages/misc/misc_fr.properties;core/src/main/assets/messages/misc/misc_hu.properties;core/src/main/assets/messages/misc/misc_it.properties;core/src/main/assets/messages/plants/plants_cs.properties;core/src/main/assets/messages/scenes/scenes_be.properties;core/src/main/assets/messages/scenes/scenes_cs.properties;core/src/main/assets/messages/scenes/scenes_de.properties;core/src/main/assets/messages/scenes/scenes_el.properties;core/src/main/assets/messages/scenes/scenes_eo.properties;core/src/main/assets/messages/scenes/scenes_es.properties;core/src/main/assets/messages/scenes/scenes_fr.properties;core/src/main/assets/messages/scenes/scenes_hu.properties;core/src/main/assets/messages/scenes/scenes_in.properties;core/src/main/assets/messages/scenes/scenes_it.properties;core/src/main/assets/messages/scenes/scenes_ja.properties;core/src/main/assets/messages/scenes/scenes_ko.properties;core/src/main/assets/messages/scenes/scenes_nl.properties;core/src/main/assets/messages/scenes/scenes_pl.properties;core/src/main/assets/messages/scenes/scenes_pt.properties;core/src/main/assets/messages/scenes/scenes_ru.properties;core/src/main/assets/messages/scenes/scenes_tr.properties;core/src/main/assets/messages/scenes/scenes_uk.properties;core/src/main/assets/messages/scenes/scenes_vi.properties;core/src/main/assets/messages/scenes/scenes_zh.properties;core/src/main/assets/messages/ui/ui_hu.properties;core/src/main/assets/messages/ui/ui_ru.properties;core/src/main/assets/messages/windows/windows_cs.properties;core/src/main/assets/messages/windows/windows_el.properties;core/src/main/assets/messages/windows/windows_fr.properties;core/src/main/assets/messages/windows/windows_hu.properties;core/src/main/assets/messages/windows/windows_pl.properties;core/src/main/assets/messages/windows/windows_ru.properties;core/src/main/assets/messages/windows/windows_tr.properties;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java	slice2-candidate
2f8892360a608fc75bfcf18dbeae4859efde5854	v2.4.2..v2.5.4	v2.5.4: fixed parchment scrap altering generation from 2 rooms	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/levels/rooms/special/CryptRoom.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/levels/rooms/special/SacrificeRoom.java	general
118a7681710fed3c38018954c4ce304daeee4aef	v2.4.2..v2.5.4	v2.5.4: fixed rare cases where rot heart could still be boxed in	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/levels/rooms/quest/RotGardenRoom.java	general
e7dbe79c154f566e9f5fc641c03b7981b94d15b2	v2.4.2..v2.5.4	v2.5.4: fixed 2x unided SOTrans not being usable on its own stack	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/scrolls/ScrollOfTransmutation.java	general
4ff769d0ef0101ac3017171da53fc0a825a74e07	v2.4.2..v2.5.4	v2.5.4: fixed necromancers not being able to summon onto doors	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/Necromancer.java	general
175a344fb548bf791144990abb85b047070dccec	v2.4.2..v2.5.4	v2.5.4: fixed beacon of returning placing hero into closed doors	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/scrolls/ScrollOfTeleportation.java	general
ad856bdea3b55dbb227afb82539386fca113eec3	v2.4.2..v2.5.4	v2.5.4: adjusted language loading slightly, english now has 'en' code	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Messages.java	general
bf4fd5c66f33b4852571cf1e50e7e290a1f8af0f	v2.4.2..v2.5.4	v2.5.4: buffs on enemies can now also use the revivepersists property	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/buffs/AllyBuff.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/buffs/Buff.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/buffs/ChampionEnemy.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/hero/abilities/Ratmogrify.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/hero/HeroClass.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/DwarfKing.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/Ghoul.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/Necromancer.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/SpectralNecromancer.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/Swarm.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/artifacts/MasterThievesArmband.java	hotspot
8a143658fba9ed9bd2b8fd3f137ab3e8b847b1aa	v2.4.2..v2.5.4	v2.5.4: fixed cases where geomancer would be awoken via debuff	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/GnollGeomancer.java	general
2b6d21be550a76dc85fe77401231da8b4f526ba4	v2.4.2..v2.5.4	v2.5.4: lab rooms can now only find str pot prize items	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/levels/rooms/special/LaboratoryRoom.java	general
86910fb5e03c423f57b811c730843179de1c8ff8	v2.4.2..v2.5.4	v2.5.4: toxic gas rooms can no longer have extra traps	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/levels/rooms/special/ToxicGasRoom.java	general
91fa8b440f58658af73ee52f33586284323db051	v2.4.2..v2.5.4	v2.5.4: added a bit of clarity to antimagic scroll	core/src/main/assets/messages/items/items.properties	localization
b8e68533b99bdeeb994bd5c34bd678ec26bcca32	v2.4.2..v2.5.4	v2.5.4: fixed instakill effects not working on raging brutes	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/Char.java	hotspot
7215fc999d6b67651d9bdc1659432ae04851d243	v2.4.2..v2.5.4	v2.5.4: fixed imp's new terrain override not setting terrain flags	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/npcs/Imp.java	general
e3a11ba7711d9e3c19ac21f318c71bae2b10398a	v2.4.2..v2.5.4	v2.5.4: added support for narrow non-breaking space to fonts	core/src/main/assets/fonts/pixel_font.ttf;desktop/src/main/assets/fonts/droid_sans.ttf	platform
77ea415dc72490698612f2c8f16ac9661ae01061	v2.4.2..v2.5.4	v2.5.4: fixed errors with dmg numbers in bomb descs	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/bombs/Bomb.java	general
e92ed1276ca453279c927ba5a268c0391a9f76d4	v2.4.2..v2.5.4	v2.5.4: fixed flashbang bomb not properly using electricity dmg type	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/bombs/Bomb.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/bombs/FlashBangBomb.java	general
2e69f141182bfdaa3573bdfbd68a348c02ae40ff	v2.4.2..v2.5.4	v2.5.4: fixed gravity chaos cursed wand effect not being triggerable	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/wands/CursedWand.java	slice2-candidate
284513c4da62bc008deb6a7a828555c13dca6d71	v2.4.2..v2.5.4	v2.5.3: fixed changelog errors and re-upped version code	build.gradle;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/ui/changelist/v2_X_Changes.java	docs
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	v2.4.2..v2.5.4	v2.5.3: updated translations, changelog, and version for v2.5.3 release!	build.gradle;core/src/main/assets/messages/actors/actors_cs.properties;core/src/main/assets/messages/actors/actors_de.properties;core/src/main/assets/messages/actors/actors_el.properties;core/src/main/assets/messages/actors/actors_eo.properties;core/src/main/assets/messages/actors/actors_es.properties;core/src/main/assets/messages/actors/actors_fr.properties;core/src/main/assets/messages/actors/actors_hu.properties;core/src/main/assets/messages/actors/actors_in.properties;core/src/main/assets/messages/actors/actors_it.properties;core/src/main/assets/messages/actors/actors_ja.properties;core/src/main/assets/messages/actors/actors_ko.properties;core/src/main/assets/messages/actors/actors_nl.properties;core/src/main/assets/messages/actors/actors_pl.properties;core/src/main/assets/messages/actors/actors_pt.properties;core/src/main/assets/messages/actors/actors_ru.properties;core/src/main/assets/messages/actors/actors_tr.properties;core/src/main/assets/messages/actors/actors_uk.properties;core/src/main/assets/messages/actors/actors_vi.properties;core/src/main/assets/messages/actors/actors_zh.properties;core/src/main/assets/messages/items/items_cs.properties;core/src/main/assets/messages/items/items_de.properties;core/src/main/assets/messages/items/items_el.properties;core/src/main/assets/messages/items/items_eo.properties;core/src/main/assets/messages/items/items_es.properties;core/src/main/assets/messages/items/items_fr.properties;core/src/main/assets/messages/items/items_hu.properties;core/src/main/assets/messages/items/items_in.properties;core/src/main/assets/messages/items/items_it.properties;core/src/main/assets/messages/items/items_ja.properties;core/src/main/assets/messages/items/items_ko.properties;core/src/main/assets/messages/items/items_nl.properties;core/src/main/assets/messages/items/items_pl.properties;core/src/main/assets/messages/items/items_pt.properties;core/src/main/assets/messages/items/items_ru.properties;core/src/main/assets/messages/items/items_tr.properties;core/src/main/assets/messages/items/items_uk.properties;core/src/main/assets/messages/items/items_vi.properties;core/src/main/assets/messages/items/items_zh.properties;core/src/main/assets/messages/journal/journal_de.properties;core/src/main/assets/messages/journal/journal_hu.properties;core/src/main/assets/messages/misc/misc_de.properties;core/src/main/assets/messages/misc/misc_es.properties;core/src/main/assets/messages/scenes/scenes_de.properties;core/src/main/assets/messages/ui/ui_hu.properties;core/src/main/assets/messages/ui/ui_tr.properties;core/src/main/assets/messages/windows/windows_hu.properties;core/src/main/assets/messages/windows/windows_zh.properties;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/ui/changelist/v2_X_Changes.java	slice2-candidate
fe4e3ef70839289db37a5f45512f09e3507831e3	v2.4.2..v2.5.4	v2.5.3: added a safety check to controller handler	SPD-classes/src/main/java/com/watabou/input/ControllerHandler.java	general
79c2350cb10dd1a06c7c4cfb5601b8284f798868	v2.4.2..v2.5.4	v2.5.3: fixed rare cases where spawned mimics (e.g. via cursed wand) didn't use scaling depth	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/Mimic.java	slice2-candidate
15eb83aa5e6954b5153e369ef3b49a8762e3bdff	v2.4.2..v2.5.4	v2.5.3: fixed wards not being targetable when inside solid terrain	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/wands/WandOfWarding.java	general
789ca665c32d361b4d8d79e20e995014852a2208	v2.4.2..v2.5.4	v2.5.3: fixed typos in new well descriptions	core/src/main/assets/messages/actors/actors.properties	localization
2fef96f21caff859ba9322a427aa60d35da7d340	v2.4.2..v2.5.4	v2.5.3: fixed new bomb logic preventing bombs breaking flammable terrain	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/bombs/Bomb.java	general
c2b163ae03cd5ee91f277fa89a013a16b62ef65d	v2.4.2..v2.5.4	v2.5.3: fixed a crash in new yog aggro logic	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/YogDzewa.java	general
fb08349cf6f4a149f42ae6a7c2639598110b797f	v2.4.2..v2.5.4	v2.5.3: fixed incorrect save conversion for old Flashbang bombs	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/ShatteredPixelDungeon.java	hotspot
f4535640713c6efbab0dc742c2766de9871eccad	v2.4.2..v2.5.4	v2.5.3: updated changelog, version, and translations for v2.5.2-BETA-1	build.gradle;core/src/main/assets/messages/actors/actors_be.properties;core/src/main/assets/messages/actors/actors_cs.properties;core/src/main/assets/messages/actors/actors_de.properties;core/src/main/assets/messages/actors/actors_el.properties;core/src/main/assets/messages/actors/actors_eo.properties;core/src/main/assets/messages/actors/actors_es.properties;core/src/main/assets/messages/actors/actors_fr.properties;core/src/main/assets/messages/actors/actors_hu.properties;core/src/main/assets/messages/actors/actors_in.properties;core/src/main/assets/messages/actors/actors_it.properties;core/src/main/assets/messages/actors/actors_ja.properties;core/src/main/assets/messages/actors/actors_ko.properties;core/src/main/assets/messages/actors/actors_nl.properties;core/src/main/assets/messages/actors/actors_pl.properties;core/src/main/assets/messages/actors/actors_pt.properties;core/src/main/assets/messages/actors/actors_ru.properties;core/src/main/assets/messages/actors/actors_tr.properties;core/src/main/assets/messages/actors/actors_uk.properties;core/src/main/assets/messages/actors/actors_vi.properties;core/src/main/assets/messages/actors/actors_zh.properties;core/src/main/assets/messages/items/items_be.properties;core/src/main/assets/messages/items/items_cs.properties;core/src/main/assets/messages/items/items_de.properties;core/src/main/assets/messages/items/items_el.properties;core/src/main/assets/messages/items/items_eo.properties;core/src/main/assets/messages/items/items_es.properties;core/src/main/assets/messages/items/items_fr.properties;core/src/main/assets/messages/items/items_hu.properties;core/src/main/assets/messages/items/items_in.properties;core/src/main/assets/messages/items/items_it.properties;core/src/main/assets/messages/items/items_ja.properties;core/src/main/assets/messages/items/items_ko.properties;core/src/main/assets/messages/items/items_nl.properties;core/src/main/assets/messages/items/items_pl.properties;core/src/main/assets/messages/items/items_pt.properties;core/src/main/assets/messages/items/items_ru.properties;core/src/main/assets/messages/items/items_tr.properties;core/src/main/assets/messages/items/items_uk.properties;core/src/main/assets/messages/items/items_vi.properties;core/src/main/assets/messages/items/items_zh.properties;core/src/main/assets/messages/journal/journal_de.properties;core/src/main/assets/messages/journal/journal_el.properties;core/src/main/assets/messages/journal/journal_eo.properties;core/src/main/assets/messages/journal/journal_fr.properties;core/src/main/assets/messages/journal/journal_pl.properties;core/src/main/assets/messages/journal/journal_pt.properties;core/src/main/assets/messages/journal/journal_tr.properties;core/src/main/assets/messages/journal/journal_vi.properties;core/src/main/assets/messages/levels/levels_de.properties;core/src/main/assets/messages/levels/levels_el.properties;core/src/main/assets/messages/levels/levels_fr.properties;core/src/main/assets/messages/levels/levels_pl.properties;core/src/main/assets/messages/misc/misc_de.properties;core/src/main/assets/messages/misc/misc_el.properties;core/src/main/assets/messages/misc/misc_eo.properties;core/src/main/assets/messages/misc/misc_pl.properties;core/src/main/assets/messages/misc/misc_zh.properties;core/src/main/assets/messages/plants/plants_cs.properties;core/src/main/assets/messages/plants/plants_hu.properties;core/src/main/assets/messages/scenes/scenes_el.properties;core/src/main/assets/messages/scenes/scenes_fr.properties;core/src/main/assets/messages/scenes/scenes_hu.properties;core/src/main/assets/messages/scenes/scenes_pl.properties;core/src/main/assets/messages/ui/ui_el.properties;core/src/main/assets/messages/ui/ui_fr.properties;core/src/main/assets/messages/ui/ui_hu.properties;core/src/main/assets/messages/windows/windows_el.properties;core/src/main/assets/messages/windows/windows_eo.properties;core/src/main/assets/messages/windows/windows_fr.properties;core/src/main/assets/messages/windows/windows_hu.properties;core/src/main/assets/messages/windows/windows_pl.properties;core/src/main/assets/messages/windows/windows_ru.properties;core/src/main/assets/messages/windows/windows_tr.properties;core/src/main/assets/messages/windows/windows_uk.properties;core/src/main/assets/messages/windows/windows_vi.properties;core/src/main/assets/messages/windows/windows_zh.properties;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/ui/changelist/v2_X_Changes.java	slice2-candidate
8f19feba79d0a40f0750461959bda71da9902a43	v2.4.2..v2.5.4	v2.5.3: actually increased mossy clumps upgrade cost, not just comment	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/trinkets/MossyClump.java	slice2-candidate
ca88370e48b3f52f408155a9e632167e05797ec1	v2.4.2..v2.5.4	v2.5.3: increased the power of wraiths spawned by spectral necros	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/SpectralNecromancer.java	general
